GA_Date,Pageviews,sessionCount
4/1/12,0,0
4/2/12,0,0
4/3/12,0,0
4/4/12,0,0
4/5/12,0,0
4/6/12,0,0
4/7/12,0,0
4/8/12,0,0
4/9/12,0,0
4/10/12,0,0
4/11/12,0,0
4/12/12,0,0
4/13/12,0,0
4/14/12,0,0
4/15/12,0,0
4/16/12,0,0
4/17/12,0,0
4/18/12,0,0
4/19/12,0,0
4/20/12,0,0
4/21/12,0,0
4/22/12,0,0
4/23/12,74,9
4/24/12,414,12
4/25/12,571,14
4/26/12,688,18
4/27/12,557,18
4/28/12,12,6
4/29/12,63,5
4/30/12,132,6
5/1/12,192,14
5/2/12,"1,321",20
5/3/12,903,29
5/4/12,334,14
5/5/12,11,2
5/6/12,0,0
5/7/12,585,24
5/8/12,32,9
5/9/12,170,10
5/10/12,272,19
5/11/12,869,19
5/12/12,6,2
5/13/12,0,0
5/14/12,623,10
5/15/12,305,19
5/16/12,238,12
5/17/12,692,20
5/18/12,550,8
5/19/12,2,1
5/20/12,4,1
5/21/12,125,14
5/22/12,"2,264",313
5/23/12,"5,346",898
5/24/12,"5,365",860
5/25/12,"4,079",633
5/26/12,"2,006",321
5/27/12,"1,739",336
5/28/12,"3,746",645
5/29/12,"6,645","1,083"
5/30/12,"5,034",842
5/31/12,"4,286",744
6/1/12,"3,472",596
6/2/12,"1,858",328
6/3/12,"2,222",393
6/4/12,"4,815",765
6/5/12,"5,637",805
6/6/12,"4,490",776
6/7/12,"4,561",731
6/8/12,"2,852",504
6/9/12,"1,410",266
6/10/12,"1,904",357
6/11/12,"4,873",762
6/12/12,"4,333",751
6/13/12,"4,147",713
6/14/12,"3,559",616
6/15/12,"2,832",482
6/16/12,"1,457",281
6/17/12,"1,743",325
6/18/12,"5,139",843
6/19/12,"4,140",718
6/20/12,"3,830",645
6/21/12,"6,354","1,025"
6/22/12,"3,485",638
6/23/12,"1,328",271
6/24/12,"2,131",371
6/25/12,"4,954",809
6/26/12,"4,273",706
6/27/12,"4,337",752
6/28/12,"4,035",703
6/29/12,"2,809",488
6/30/12,"1,583",298
7/1/12,"1,712",316
7/2/12,"4,571",816
7/3/12,"3,416",601
7/4/12,"1,812",354
7/5/12,"3,469",594
7/6/12,"2,982",512
7/7/12,"1,549",285
7/8/12,"2,011",371
7/9/12,"4,583",784
7/10/12,"4,740",761
7/11/12,"4,051",676
7/12/12,"4,118",651
7/13/12,"3,831",638
7/14/12,"1,618",286
7/15/12,"1,800",341
7/16/12,"4,781",810
7/17/12,"3,901",689
7/18/12,"3,937",682
7/19/12,"3,690",616
7/20/12,"2,516",463
7/21/12,"1,129",242
7/22/12,"1,645",319
7/23/12,"4,084",707
7/24/12,"3,772",689
7/25/12,"3,340",632
7/26/12,"3,444",654
7/27/12,"2,802",541
7/28/12,"1,564",314
7/29/12,"1,609",302
7/30/12,"4,094",732
