Date,ID,GL Code,Amount,Receipt Number,Gift Type
7/6/2007,2695,Corporate Donation,"$1,641.00 ",,
7/26/2007,2427,Corporate Donation,"$37,500.00 ",,
7/31/2007,2599,Individual Donation,$100.00 ,,
7/31/2007,2672,Corporate Donation,$500.00 ,,
8/10/2007,2695,Corporate Donation,"$6,000.00 ",,
8/10/2007,2695,Corporate Donation,"$6,000.00 ",,
8/27/2007,2540,Corporate Donation,"$10,000.00 ",,
8/31/2007,2813,Corporate Donation,"$50,000.00 ",,
9/4/2007,2695,Corporate Donation,"$6,000.00 ",,
9/4/2007,2695,Corporate Donation,"$16,026.00 ",,
9/13/2007,2628,Corporate Donation,$50.00 ,,
9/17/2007,2862,Corporate Donation,$250.00 ,,
10/2/2007,2443,Individual Donation,$480.00 ,,
10/11/2007,2846,Corporate Donation,$225.00 ,,
10/25/2007,2546,Corporate Donation,"$5,000.00 ",,
10/26/2007,2742,Corporate Donation,"$1,750.00 ",,
11/5/2007,2695,Corporate Donation,$520.00 ,,
11/5/2007,2695,Corporate Donation,"$3,235.00 ",,
11/5/2007,2695,Corporate Donation,$520.00 ,,
11/5/2007,2695,Corporate Donation,"$2,715.00 ",,
11/6/2007,2600,Individual Donation,$20.00 ,,
11/6/2007,2621,Corporate Donation,"$17,250.00 ",,
11/6/2007,2742,Corporate Donation,$97.19 ,,
11/12/2007,2504,Individual Donation,"$2,500.00 ",,
11/12/2007,2695,Corporate Donation,"$20,156.00 ",,
11/19/2007,2500,Corporate Donation,"$3,000.00 ",,
12/14/2007,2397,Corporate Donation,"$2,000.00 ",,
1/2/2008,2733,Corporate Donation,$100.00 ,,
1/2/2008,2737,Corporate Donation,$200.00 ,,
1/2/2008,2591,Individual Donation,"$6,360.90 ",,
1/10/2008,7133,Legends Camp,"$25,000.00 ",,Check
1/10/2008,2859,Corporate Donation,"$2,500.00 ",,
1/11/2008,2377,Corporate Donation,"$5,000.00 ",,
1/14/2008,2461,Corporate Donation,$175.00 ,,
1/14/2008,2826,Individual Donation,$160.00 ,,
1/14/2008,2872,Corporate Donation,$150.00 ,,
1/15/2008,2821,Corporate Donation,"$12,211.24 ",,
1/21/2008,2549,Corporate Donation,"$2,500.00 ",,
1/21/2008,2813,Corporate Donation,"$6,000.00 ",,
1/21/2008,2813,Corporate Donation,"$12,000.00 ",,
2/4/2008,2813,Corporate Donation,"$12,000.00 ",,
2/4/2008,2813,Corporate Donation,"$6,000.00 ",,
2/4/2008,2813,Corporate Donation,"$1,190.00 ",,
2/4/2008,2813,Corporate Donation,"$1,190.00 ",,
2/11/2008,2695,Corporate Donation,"$20,000.00 ",,
2/26/2008,2461,Corporate Donation,$200.00 ,,
2/26/2008,2695,Corporate Donation,"$20,000.00 ",,
2/26/2008,2813,Corporate Donation,"$6,000.00 ",,
3/18/2008,2489,Individual Donation,$50.00 ,,
3/30/2008,2701,Individual Donation,"$1,000.00 ",,
3/30/2008,2441,Individual Donation,"$1,000.00 ",,
4/2/2008,2662,Corporate Donation,"$5,713.33 ",,
4/22/2008,2695,Corporate Donation,"$4,869.00 ",,
5/2/2008,2695,Corporate Donation,$725.00 ,,
6/3/2008,2427,Corporate Donation,"$50,000.00 ",,
6/24/2008,7133,Legends Camp,"$25,000.00 ",,Check
6/24/2008,2424,Corporate Donation,$250.00 ,,
6/24/2008,2733,Corporate Donation,$500.00 ,,
6/24/2008,2791,Corporate Donation,"$2,000.00 ",,
6/24/2008,2891,Individual Donation,$50.00 ,,
7/1/2008,2695,Corporate Donation,"$2,715.00 ",,
7/9/2008,2384,Corporate Donation,$300.00 ,,
7/15/2008,2532,Corporate Donation,"$1,500.00 ",,
7/15/2008,2552,Corporate Donation,$100.00 ,,
7/15/2008,1452,Individual Donation,$25.00 ,,
7/15/2008,2857,Individual Donation,$25.00 ,,
8/1/2008,2679,Individual Donation,$250.00 ,,
8/1/2008,2821,Corporate Donation,"$74,317.19 ",,
8/22/2008,2695,Corporate Donation,"$6,216.00 ",,
9/2/2008,2449,Corporate Donation,"$1,071.43 ",,
9/19/2008,2695,Corporate Donation,"$20,000.00 ",,
9/24/2008,2695,Corporate Donation,"$1,150.00 ",,
10/6/2008,2406,Corporate Donation,$500.00 ,,
10/6/2008,2478,Individual Donation,$150.00 ,,
11/10/2008,2915,Individual Donation,$20.00 ,,
12/26/2008,2695,Corporate Donation,"$20,000.00 ",,
1/5/2009,2794,Individual Donation,$250.00 ,,
1/6/2009,2399,Corporate Donation,$750.00 ,,
1/6/2009,2773,Individual Donation,$10.00 ,,
1/6/2009,2828,Individual Donation,$295.00 ,,
1/6/2009,2653,Corporate Donation,$245.00 ,,
1/6/2009,2695,Corporate Donation,"$20,000.00 ",,
1/6/2009,2695,Corporate Donation,"$4,699.00 ",,
1/6/2009,2695,Corporate Donation,$935.00 ,,
1/6/2009,2625,Individual Donation,$25.00 ,,
1/6/2009,2451,Individual Donation,$20.00 ,,
1/6/2009,2762,Individual Donation,$250.00 ,,
1/6/2009,2395,Individual Donation,$25.00 ,,
